text,lang
"В 1999 году был открыт офис в США, его возглавил Дин Тан.",1.0
"В 2000 году в Мюнхене основана ABBYY Europe, её возглавил бывший директор Mitcom Юп Стопити.",1.0
В 2001 году выходит программа ABBYY FormReader(позднее стала частью FlexiCapture) — система ввода заполненных от руки форм на основе технологии интеллектуального распознавания символов (ICR).. С начала 2000-х решение на её основе — ABBYY Test Reader — используют для обработки результатов ЕГЭ.,1.0
С 2004 года ABBYY является генеральным организатором российской конференции по компьютерной лингвистике конференции «Диалог».,1.0
В 2006 году ABBYY основала кафедру «Распознавание изображений и обработка текста» на факультете инноваций и высоких технологий в Московском физико-техническом институте.. В мае 2012 года при поддержке ABBYY и IBM были открыты кафедры «Компьютерной лингвистики» в РГГУ и МФТИ.,1.0
В 2006 был открыт офис компании в Японии.,1.0
"В 2007 году ABBYY приобрела долю в российском бюро переводов «Переведём.ру», расширив спектр своих услуг в области переводов и связанных с ними услуг, которую затем переименовали в ABBYY Language Services.",1.0
"В 2017 году начался процесс разделения ABBYY и ABBYY Language Services: Language Services вышла из группы компаний ABBYY и объединилась с компанией «Трактат».. В октябре 2018 объединенная компания представила свой новый бренд Awatera, он уже не включал в себя бренд ABBYY.",1.0
В 2007 году ABBYY выпустила ABBYY FlexiCapture — универсальную платформу для интеллектуальной обработки информации из любых типов документов.,1.0
"В 2009 был открыт офис компании на Тайване, а в 2010 — в Австралии.",1.0
"В августе 2012 года ABBYY Language Services, входившая тогда в группу компаний ABBYY, приобрела американскую компанию Connective Language Services.",1.0
"В сентябре было объявлено о приобретении Digital Documents — американского интегратора, который занимается внедрением технологий распознавания документов и ввода данных в правительственных, финансовых, медицинских и образовательных организациях Северной Америки.",1.0
"В 2014 году ABBYY вместе с Московским физико-техническим институтом (Физтех), НП «Физтех-Союз», венчурным фондом Runa Capital, компаниями 1C, Parallels, Acronis и Competentum участвовала в создании некоммерческого партнерства «ИТ-кластер „Физтех“».. Основные задачи ИТ-кластера: участие в разработке и реализации передовых образовательных программ в области Computer Science и Software Engineering и привлечение ведущих учёных к созданию лабораторий международного уровня в области ИТ.",1.0
В 2014 году ABBYY выпустила на рынок первые продукты для корпоративного поиска и извлечения данных на базе технологии понимания и анализа текстов Compreno.,1.0
В 2016 году компания запустила ABBYY Мониторинг — платформу для проведения массовых независимых диагностик и оценки качества образования.,1.0
"Платформа автоматизирует процесс контроля качества образования от загрузки контрольно-измерительных материалов до формирования подробных аналитических отчетов, а также сокращает сроки и ресурсы на проведение мониторинга качества образования.",1.0
"В 2018 году компания объявила о приобретении разработчика решений по автоматизации документооборота и анализу изображений ATAPY Software, с которой сотрудничала почти 18 лет, за которые ATAPY реализовала свыше 80 проектов в сотрудничестве с ABBYY.. Офис ATAPY в Новосибирске стал региональным офисом ABBYY.",1.0
"Также в 2018 году она заключила соглашения о стратегическом партнерстве с UiPath, Blue Prism и Nice Systems — универсальная платформа для интеллектуальной обработки информации ABBYY FlexiCapture была интегрирована c продуктами этих вендоров.",1.0
В 2019 году ABBYY купила 100% американской TimelinePI – платформы по анализу бизнес-процессов.,1.0
В результате сделки новое решение называется ABBYY Timeline.,1.0
,1.0
,1.0
Владельцы компании не раскрываются.,1.0
"По мнению участников рынка, в числе акционеров ABBYY — Давид Ян, Сергей Андреев, международный инвестиционный фонд Mint Capital (миноритарный инвестор), PFU (группа Fujitsu), нынешние и бывшие сотрудники компании.",1.0
Генеральный директор ABBYY (с 2017 года) — Ульф Перссон.,1.0
Генеральный директор ABBYY Russia (с 2017 года) — Дмитрий Шушкин.,1.0
,1.0
,1.0
Финансовые показатели компании не раскрываются.,1.0
"Выручка компании в 2008, 2010 и 2015 годах оценивалась в 100—200 млн $ в год.",1.0
По итогам 2017 и 2018 годов на сегмент корпоративных продаж приходится более 90 % продаж группы ABBYY в мире.,1.0
"В 2017 году рост продаж компании составил 25 %, в 2018 году общие доходы группы компаний ABBYY за 2018 год увеличились в долларовом исчислении на 15 %.. Около 60 % доходов приносят рынки США и Европы.",1.0
"Рублевая выручка ABBYY Россия в 2018 году выросла на 47 %, при этом выручка корпоративного направления ABBYY Россия увеличилась на 63 %.",1.0
По итогам 2019 количество проектов в российском подразделении компании увеличилось на 19 %.,1.0
,1.0
,1.0
"Среди заказчиков программных продуктов ABBYY «Сибур», «Транснефть», «Роснефть», ПАО «МОЭК», «Татэнергосбыт», «МРСК Сибири», Tele2, «Триколор ТВ», «Кофемания», сеть гипермаркетов «Глобус», НПО «Энергомаш», «Магнитогорский металлургический комбинат», «Росгосстрах», «Ингосстрах», PwC, «Базэл Аэро», Aviasales, «Қазақстан Темір Жолы» («Казахстанские железные дороги»).",1.0
"Также в числе заказчиков банковские структуры: Сбербанк, ВТБ, «Альфа-Банк», «Райффайзенбанк», «Газпромбанк», «Промсвязьбанк», «Тинькофф банк», «Открытие», «Точка», «Модульбанк» и другие.",1.0
,1.0
,1.0
"Технологии распознавания текстов ABBYY применялись в финансируемых Еврокомиссией проектах по созданию электронных библиотек Gutenberg и META-e, оцифровке архивов в Хартли.",1.0
В 2014 году ABBYY совместно с Государственным музеем Л.,1.0
"Н.. Толстого и музеем-усадьбой «Ясная Поляна» реализовала краудсорсинговый проект «Весь Толстой в один клик», в результате которого создана электронная версия 90-томного собрания сочинений писателя.",1.0
В 2016 году стартовал краудсорсинговый проект ABBYY «Открой историю Большого» по оцифровке и извлечению информации из афиш и программок Большого театра.,1.0
"Летом 2017 года стартовал второй этап проекта — проверка информации в базе данных, которую внесли волонтёры и обработали технологии ABBYY.. В ноябре 2017 года была запущена пилотная версия электронного архива.",1.0
"Также ABBYY автоматизировала национальное образовательное тестирование в Чили, региональные выборы в Колумбии, реализовала проект в Национальной ассамблее Эквадора и в Налоговой службе Бразилии.",1.0
"Кроме того, технологии компании использовали при проведении переписей населения и выборов в Саудовской Аравии, Греции, Литве, Чили.",1.0
,1.0
,1.0
,1.0
,1.0
"ABBYY FineReader — система распознавания документов и PDF-файлов.. В основе FineReader технология оптического распознавания символов ABBYY OCR, которую лицензируют Fujitsu, Panasonic, Xerox, Samsung и другие.",1.0
"ABBYY Compreno (англ.) — технология понимания, анализа и перевода текстов на естественных языках.",1.0
В 2014 году ABBYY представила первые решения на базе технологии Compreno для корпоративного поиска и извлечения данных.,1.0
"ABBYY Intelligent Search- корпоративный поиск на основе искусственного интеллекта, который позволяет сквозным образом искать документы в информационных системах.",1.0
ABBYY FlexiCapture — платформа для интеллектуальной обработки информации.. В 2019 году в решение были добавлены технологии обработки естественного языка.,1.0
ABBYY Lingvo — семейство электронных словарей.,1.0
ABBYY Timeline – платформа для интеллектуального анализа бизнес-процессов.,1.0
,1.0
,1.0
"ABBYY TextGrabber — оцифровка, распознавание и перевод текста",1.0
"ABBYY FineScanner — универсальный мобильный сканер, который автоматически оцифровывает документы и книги и распознает текст из них (поддерживает 193 языка).",1.0
ABBYY Business Card Reader — приложение для работы с контактными данными и визитками.Для операционной системы iOS TextGrabber и FineScanner с 2018 года выпускаются с поддержкой Siri Shortcuts.,1.0
,1.0
,1.0
"В 2008 году американская компания Nuance Communications подала иск против ABBYY и корпорации Lexmark, специализирующейся на разработке и изготовлении устройств для печати и обработки изображений.«Я́ндекс» — российская (требуется подписка) транснациональная компания в отрасли информационных технологий, зарегистрированная в Нидерландах и владеющая одноимённой системой поиска в Сети, интернет-порталами и службами в нескольких странах.. Наиболее заметное положение занимает на рынках России, Турции, Белоруссии и Казахстана.",1.0
Одна из крупнейших российских IT- и интернет-компаний.,1.0
"Поисковая система «Яндекс» является четвёртой среди поисковых систем мира по количеству обрабатываемых поисковых запросов (свыше 6,3 млрд в месяц на начало 2014 года).. По состоянию на май 2020 года, согласно рейтингу Alexa.com, сайт yandex.ru по популярности занимает 56-е место в мире и 4-е — в России.",1.0
Поисковая система Yandex.ru была официально анонсирована 23 сентября 1997 года и первое время развивалась в рамках компании CompTek International.,1.0
"Как отдельная компания «Яндекс» образовалась в 2000 году.. В мае 2011 года Яндекс провёл первичное размещение акций, заработав на этом больше, чем какая-либо из Интернет-компаний со времён IPO поисковика Google в 2004 году.",1.0
"Приоритетное направление компании — разработка поискового механизма, но за годы работы «Яндекс» стал мультипорталом.",1.0
В 2016 году «Яндекс» предоставлял более 50 служб.,1.0
"Головной компанией холдинга является зарегистрированное в Нидерландах в 2004 году акционерное общество Yandex N.V., акции которого обращаются в основном на NASDAQ с более 50 % free float на 2014 год.",1.0
"В России представлена дочерней компанией ООО «Яндекс», главный офис которой находится в Москве на улице Льва Толстого, дом 16.",1.0
"Компания имеет офисы в 21 городе России, в Минске (Белоруссия), Алма-Ате (Казахстан), Ньюберипорте (США), Стамбуле (Турция), Люцерне (Швейцария), Берлине (Германия), Амстердаме (Нидерланды), Шанхае (Китай) и Тель-Авиве (Израиль).",1.0
,1.0
,1.0
"В 1989 году предприниматель и программист Аркадий Волож основал фирму CompTek, продававшую персональные компьютеры и занимавшуюся автоматизацией рабочих мест.. Также Волож интересовался алгоритмами обработки данных, и его заинтересовала возможность написания приложения, которое могло бы осуществлять поиск информации в больших объёмах текста, учитывая морфологию языка.",1.0
"Совместно со специалистом по компьютерной лингвистике Аркадием Борковским он основал в 1989 году компанию «Аркадия».. После 1990 года сотрудники «Аркадии» написали информационно-поисковые системы «Международная классификация изобретений» и «Классификатор товаров и услуг», которые оказались востребованными в различных НИИ и патентных организациях.",1.0
,1.0
"В 1993 году «Аркадию» присоединили к CompTek, в которую ранее пришёл школьный друг Воложа программист Илья Сегалович.",1.0
"В том же году была создана программа для поиска на жёстком диске компьютера.. Программу назвали «Yandex», название придумали Илья Сегалович, директор «Яндекса» по технологиям, и генеральный директор компании — Аркадий Волож.",1.0
"Сегалович выписывал разные производные от слов, описывающих суть технологии.. В результате появился вариант «yandex» — Yet ANother inDEXer («ещё один индексатор»).",1.0
"Сотрудничая с Институтом проблем передачи информации, CompTek создала словарь с поиском, который учитывал морфологию русского языка.",1.0
В 1994 году был создан «Библейский компьютерный справочник».,1.0
"В 1995 году было принято решение об использовании поискового приложения для сети Интернет.. Сначала оно работало с ограниченным числом ресурсов, а позже со всем русскоязычным сегментом Интернета.",1.0
Официально поисковая машина Yandex.Ru была анонсирована 23 сентября 1997 года на выставке Softool.,1.0
"«Яндекс» не был первой поисковой машиной в России: в 1996 году появился «Рамблер», а ещё раньше, в декабре 1995-го, — Altavista, причём последняя имела самый производительный на тот момент сервер и отличалась самой высокой скоростью работы среди конкурентов, обрабатывая миллионы запросов в день.. Через два месяца после yandex.ru анонсировали поисковую систему «Апорт» (хотя впервые её продемонстрировали ещё в феврале 1996 года).",1.0
К середине 1999 года «Яндекс» был в семёрке популярнейших сайтов рунета; выручка «Яндекса» как отдела CompTek’а в этом году составила 72 тыс.,1.0
долларов.,1.0
"В апреле 2000 года фонд ru-Net Holdings приобрёл 35,72 % акций «Яндекса» за 5,28 млн долларов.. В число акционеров вошли также менеджеры и ведущие разработчики поисковой системы.",1.0
Генеральным директором стал Аркадий Волож.. Компания «Яндекс» вышла из состава CompTek и стала независимой.,1.0
"Материнский холдинг располагался на Кипре, в России же зарегистрирована дочерняя компания в форме общества с ограниченной ответственностью.",1.0
"В этом же году «Яндекс» первым из российских интернет-бизнесов запустил рекламную кампанию на телевидении, слоган которой, «Найдётся всё!» — стал крылатым выражением и навсегда закрепился на логотипе компании.",1.0
"В 2001 году объявлен запуск новой версии поисковой машины: улучшился поиск ссылок, стала производиться морфологическая коррекция запроса, введён «взвешенный индекс цитирования» и повысилась точность и скорость поиска.. В этом же году «Яндекс» обогнал «Рамблер» и с тех пор держит первое место в российском сегменте Интернета.",1.0
В том же 2001 году появляется система контекстной рекламы «Яндекс.Директ».,1.0
"Система быстро стала основным источником прибыли в компании: в 2002 году «Яндекс» выходит на самоокупаемость, а в 2003 году выплачивает акционерам дивиденды, общая сумма которых составила 100 тысяч долларов.",1.0
В 2005 году бизнес компании впервые выходит за пределы России — открывается представительство на Украине.. Одновременно с открытием филиала в Одессе появляется портал www.yandex.ua.,1.0
"Впоследствии, в 2006 году в Санкт-Петербурге и в 2007 году в Екатеринбурге и Киеве появились офисы разработки, а в 2009 году в Екатеринбурге и в 2010 году в Новосибирске — офисы продаж.. Кроме того, в 2008 году в Калифорнии была зарегистрирована дочерняя компания «Яндекса» — Yandex Laboratories (Yandex Labs).",1.0
"В 2008 году была запущена казахстанская версия портала «Яндекса», а в 2010 году — белорусская.. В том же году компания открыла офис в Казани; главная страница портала, некоторые службы и поиск стали доступны как на русском, так и на татарском языке.",1.0
"Таким образом, возможности поиска в процессе работы с региональными ресурсами постепенно расширились.",1.0
"В 2007 году происходит реструктуризация Яндекса, и материнской компанией становится нидерландская Yandex N.V.В том же году состоялось первое крупное поглощение — «Яндексом» была куплена социальная сеть профессионалов «Мой Круг» примерно за 1,5 млн долларов.. Крупное приобретение имело целью сделать более социальными прочие службы «Яндекса»; сразу после покупки сайт был перенесён на собственные дата-центры компании.",1.0
"В 2010 году «Яндекс» открыл www.yandex.com — сайт для поиска по зарубежному сегменту Интернета, который также стал тестовой площадкой для обкатки новых дизайнерских и инженерных решений.",1.0
"Одновременно на обычной версии сайта появилась кнопка «в мировом интернете», возникающая над результатами поиска в случае иноязычного запроса.. Индексировать и добавлять в поисковую выдачу сайты на других языках «Яндекс» начал ещё в 2008 году.",1.0
Обслуживание англоязычного поиска было возложено на калифорнийское отделение Yandex Labs.,1.0
"24 мая 2011 года состоялся выход «Яндекса» на биржу NASDAQ.. В ходе первичного размещения акций «Яндекс» привлёк 1,3 млрд долларов (второй результат за всю историю наблюдений, после Google с его 1,67 млрд долларов).",1.0
"В целом компания была оценена в 8 млрд долларов, что в 500 раз превысило её первоначальную стоимость в 2000 году.. Размещение акций планировалось ещё в 2008 году, но было отложено из-за всемирного кризиса.",1.0
Десятки сотрудников компании стали миллионерами.. 3 июня 2014 года акции компании прошли листинг и на Московской бирже.,1.0
20 сентября 2011 года «Яндекс» открывает портал в Турции.,1.0
"Поисковая система локализована для турецкоязычного пользователя, учитывает морфологию, понимает синонимы и исправляет опечатки.. Полностью локализованы службы Почта, Новости, Перевод, Карты (в том числе Пробки и Панорамы) и другие, есть и уникальные службы.",1.0
Это первый опыт «Яндекса» в не говорящей на русском стране; для завоевания нового рынка была открыта штаб-квартира с 50 сотрудниками.,1.0
,1.0
В 2012 году выходит Яндекс.Браузер.. Вскоре программа получает турецкую и украинскую локализации.,1.0
С версии 1.1 начинается его рекламная кампания на ТВ.,1.0
"В мае 2012 года в Государственной думе Российской Федерации появился законопроект, в котором «Яндекс» и «ВКонтакте» признаются стратегическими предприятиями как общенациональные трансляторы информации.. Ещё в 2009 году президент России Дмитрий Медведев инициировал покупку «Сбербанком» «золотой акции» «Яндекса» с целью избежать попадания предприятия общегосударственной важности в руки иностранцев.",1.0
В 2012 году офис Yandex Labs в США прекратил своё существование.,1.0
"В том же 2012 году «Яндекс» обогнал «Первый канал» по численности ежедневной аудитории, что сделало российский интернет-гигант лидером отечественного медиарынка.",1.0
"В 2013 году Яндекс подтвердил этот статус, обогнав «Первый канал» по выручке.",1.0
"В феврале 2013 года «Яндекс» оказался впереди Microsoft по числу поисковых запросов, заняв таким образом четвёртое место в рейтинге мировых поисковых систем (после Google, Baidu и Yahoo!).. Рост произошёл за счёт российского рынка.",1.0
В целом «Яндекс» является самым быстрорастущим поисковиком из первой десятки.,1.0
В июле 2013 года глава «Яндекса» Аркадий Волож объявил о планах своей компании выйти за пределы Интернета и открытии в будущем служб в других отраслях.,1.0
"В 2013 году в Москве прошли съёмки художественного фильма «Стартап», который рассказывает о том, как создавался «Яндекс».. Режиссёром фильма выступил Роман Каримов, а прототипами главных героев послужили Аркадий Волож и Илья Сегалович.",1.0
"В фильме название «Яндекс» не упоминается, а заменено на «Холмс».. В 2014 году вышла книга «Яндекс.Книга» за авторством Дмитрия Соколова-Митрича, в которой рассказывается о создании «Яндекса» и развитии компании.",1.0
Автор много общался с сотрудниками Яндекса для уточнения фактов.,1.0
"1 сентября 2014 года Аркадий Волож ушёл с поста генерального директора российского сегмента «Яндекса», новым генеральным директором с 1 сентября стал Александр Шульгин.. При этом А.",1.0
Волож остался на посту генерального директора всей компании.,1.0
"14 августа 2015 года «Яндекс» стал титульным спонсором футбольного клуба «Фенербахче» в чемпионате Турции-2015/16, за счёт чего увеличил долю поиска «Яндекса» в Турции с 5 % в июле до 7 % в сентябре 2015 года.",1.0
"В ноябре 2015 года Яндекс разработал собственную технологию прогноза погоды — «Метеум».. Она позволяет строить прогноз погоды с точностью до дома, благодаря объединению классических моделей метеопрогнозирования и технологий машинного обучения.",1.0
"В том же году появился сервис «Яндекс для медиа», который автоматически составляет новости на основе данных сервисов Яндекса.",1.0
Летом 2016 года в Яндекс.Браузере появляется персональная лента рекомендаций Яндекс.Дзен.. Лента рекомендаций формируется с помощью алгоритмов искусственного интеллекта и рекомендательной технологии Яндекса — Диско.,1.0
"В том же, 2016 году, была открыта просветительская программа «Издательство Яндекса», созданная для развития и поддержки образовательных интернет-проектов в области истории, литературы, языкознания, искусства и философии.",1.0
"Первой инициативой, получившей поддержку издательства, стал проект Михаила Зыгаря «1917.. Свободная история».",1.0
"В сентябре 2016 года, Яндекс запустил свой новый образовательный проект — Яндекс.Лицей для учащихся старших классов по промышленному программированию на языке программирования Python.",1.0
"Впервые программа стартовала в четырёх городах России — Саратове, Пензе, Калуге и Тамбове — при поддержке региональных министерств и ведомств, которые курируют образование и сферу IT в регионах..",1.0
"В апреле 2017 года ФАС России вынесла решение в пользу Яндекса в споре с компанией Google, который продолжался с 2015 года.",1.0
"Компания обращалась в ФАС с жалобой на то, что Google вынуждает производителей мобильных устройств под управлением Android отказываться от предустановки конкурирующих приложений, в том числе продуктов Яндекса.",1.0
"15 мая 2017 года вследствие применения персональных и экономических санкций в отношении физических и юридических лиц, связанных с ситуацией на Украине, был заблокирован доступ к сервисам Яндекс для украинских пользователей.. СНБО Украины заявил, что Россия может использовать сервисы Яндекса для планирования наступательных действий на территории Украины.",1.0
Все счета компании были заблокированы.. 29 мая 2017 года Служба безопасности Украины провела обыски в украинских офисах Яндекса в Киеве и Одессе.,1.0
"По информации местного ресурса, обыск проводился на основании статьи «Государственная измена».. В мае 2017 года Яндекс объявил о решении закрыть свои офисы на территории Украины.",1.0
"В июле 2017 года Яндекс и Uber подписали соглашение об объединении бизнеса по онлайн-заказу такси в России, Азербайджане, Армении, Белоруссии, Грузии и Казахстане.",1.0
"В 2017 году Яндекс совместно с Банком России реализовал проект по маркированию в поисковой выдаче системы Яндекс сайтов микрофинансовых организаций и сайтов субъектов страхового дела, сведения о которых содержатся в соответствующих государственных реестрах.",1.0
10 октября 2017 года Яндекс представил своего голосового ассистента «Алиса».,1.0
29 мая 2018 года на конференции Yet another Conference компания анонсировала выпуск своего первого устройства — умной колонки «Яндекс.Станция».,1.0
В начале 2019 года были запущены «Чаты для бизнеса» в рамках платформы «Яндекс.. Диалоги».,1.0
В 2018 году экосистема Яндекса пополнилась сервисами «Яндекс.,1.0
"Облако», «Яндекс.. Диалоги», «Яндекс.",1.0
Плюс» и «Яндекс.. Драйв».,1.0
В феврале 2018-го закрылась сделка по объединению «Яндекс.. Такси» и Uber в России и пяти соседних странах.,1.0
"Доля «Яндекса» в новой компании стоимостью более $ 3,8 млрд составила 59,3 %.. Также «Яндекс» купил агрегатор скидок «Едадил» и 83,3 % сервиса доставки продуктовых наборов «Партия еды».",1.0
В октябре-ноябре 2018 года Яндекс в течение двух-трёх недель была заражена вредоносной программой Regin.,1.0
По данным анонимных источников издательства Reuters скорее всего были скомпрометировали R&D-подразделение компании.. Представители Яндекса подтвердили факт хакерской атаки[значимость факта?].,1.0
В январе 2019 года Яндекс учредил ежегодную научную премию имени Ильи Сегаловича за достижения в области компьютерных наук с бюджетом 15 млн рублей.,1.0
19 марта 2019 года совместно с компанией Elari в продажу была запущена первая беспроводная bluetooth-колонка со встроенным голосовым помощником «Алиса».,1.0
В апреле 2019 года «Яндекс» совместно с Альфа-банком и банком Тинькофф выпустили карту «Яндекс.,1.0
Плюс»[значимость факта?].,1.0
"23 мая 2019 года было сообщено о запуске сети «облачных ресторанов», также были представлены стартовый набор устройств умного дома, медиаплеер «Яндекс.Модуль», новые возможности «Алисы» для управления умным домом.",1.0
